,artist_bios
47,"Chad Kleitsch is an American photographer and educator. He has taught Photography at Bard College, Yale University, and Sarah Lawrence College."
48,"Markus Klinko is an award-winning celebrity photographer and director, who has worked with many eminent movie and fashion stars.
"
49,"Trained in interior architecture and photography, Arslan Sükan is a Turkish artist who tackles ideas that question the limitations of human perception."
50,"Rick Lewis is an American contemporary artist who works as an abstract painter, drawer, printmaker, photographer, and sculptor."
51,Jose Sierra is a Colombian artist whose body of work continues to be based around his self-representation from which he addresses a homoerotic gaze.
52,"Alice de Kruijs is a Dutch fine-art photographer who explores the subject of identity and diversity, aiming to go against the standard ideals."
53,"An American action painter, Raymond Hendler created a unique style of abstract pictograms that blend a personal language with hints at figuration."
54,"Margaret Morrison is an American artist, best known for her paintings which fuse still life, elements from figurative art and subjects of surrealism."
55,"Dimitri Likissas is a highly-talented Belgian-born artist who explores the unlimited potential of chromatic and tonal scale in his dot paintings. 
"
56,"One of the leading figures in American art since the 1960s, Robert Indiana played a pivotal role in the growth of assemblage art, hard-edge painting and Pop Art.
"
57,"Hunt Slonem is an American painter, sculptor, and printmaker. He is best known for his Neo-Expressionist paintings of tropical birds, often based on a personal aviary in which he has been keeping from 30 to over 100 live birds of various species.
"
58,"Stanley Boxer was an American artist best known for thickly painted abstract works of art. He was also an accomplished sculptor and print-maker.
"
59,"Damien Hirst is one of the most known and wealthiest living contemporary artists, creating notorious work that marked the art of Britain in the 1990s."
60,Alex Hodge is an American contemporary artist who uses the medium of sculpture and clay as the conduit for processing her experience in the world.
61,"Linling Lu is a Chinese contemporary artist widely known for her hard-edge, circular abstract paintings with concentric rings of color."
62,"Clara Fialho is a Brazilian-American artist known for her use of bold, bright colors that instinctively attract the eye to her work.
"
63,"Angelica Tcherassi is a Colombian abstract artist and product designer. Born in Barranquilla, she has lived in Barcelona since 2003."
64,Dora Franco is a famous Colombian photographer who started her career working in Fashion & Beauty and Interior photography.
65,"Susan Breen is an American artist who creates beautiful abstract paintings. Growing up in Buffalo, New York she showed interest in art from a very early age.
"
66,Lawrence Larry Zox was an American painter known for his work in the color field movement of the 1960s.
67,James Lewin is a self-taught British photographer whose goal is to present African Wildlife in an immersive and striking manner.
68,Isabelle van Zeijl is an internationally well-known photographer recognized for her ability to create striking self-portraits with depth and meaning.
69,Jane Waterous is an internationally acclaimed Canadian contemporary artist whose work spans an array of mediums and techniques.
70,"Pierre Muckensturm is a French abstract artist whose visual language is built around softly textured surfaces and a muted, black and white palette.
"
71,Dmitri Wright is an American contemporary artist whose both current and past work has been labeled as abstract impressionist.
72,Frederick J. Brown was an American visual artist arguably best known for his extensive portrait series of jazz and blues musicians.
73,"Koray Erkaya is a Turkish artist who began his professional career as a photographer three decades ago, working in fashion and advertisement."
74,"Throughout his career, the Mexican contemporary artist Méndez Blake has been exploring the possible relations between literature and fine arts."
75,"Interested in playing with memory and relating it to the present, Paloma Castello is a Colombian photographer born in Bogotá."
76,"Syd Solomon is best known for works illustrating his fascination with the climatic and overall environmental conditions of land, sea, and sky.
"
77,"James Walsh is an American painter known for dazzling paintings characterized by vibrant color pallet and fluidity reminiscent of post war abstraction. 
"
78,"Won Lee is a Korean-born and Canada-based contemporary artist who creates sculptures, paintings, and drawings. His main subject matter is the human figure."
79,Kyle Andrew Szpyrka is an American contemporary artist whose paintings are based on the journey of self-discovery and spiritual awakening.
80,"Mira Schendel was a Brazilian artist, considered one of the most significant Latin American artists of the 20th century."
81,"Paul Snell combines traditional and digital techniques to explore the possibilities of abstraction and minimalism in contemporary photo-media. 
"
82,Armando de la Garza is a Mexican contemporary artist who began studying painting at an early age and started his professional art career at 22.
83,"Luca Artioli is an Italian artist, poet, and photographer, known around the world. Born in Milan, he has been living in Miami since 2008."
84,"Michael Knigin was an American painter and printmaker, particularly well versed in screenprinting and known as a master of lithography.
"
85,Anthony James is a British/American artist widely known and recognized for his monumental and experiential sculptures and installations.
86,Alex Katz is an American painter and printmaker renowned for his simplified approach that examines the limitations of portraits and landscapes.
87,"Billy Ma is a contemporary artist born in Taiwan and raised in Canada who uses his unique heritage to make characteristic and border breaking pieces of art.
"
88,"Born in Italy, Francesca Piqueras is a French photographer interested in objects man makes for the purposes of economy and war."
89,"Margaret Roleke is an American mixed media artist focusing on issues such as racism, gun violence, global warming, and an assault on the truth."
90,"Peter Max is a German-born American illustrator and graphic artist, known for the use of psychedelic shapes and color palettes as well as spectra in his work."
91,"Mr. Brainwash – often written MBW – is a name used by Paris-born, Los Angeles-based self-proclaimed filmmaker and street artist Thierry Guetta.
"
92,"Marc Lagrange was a Belgian photographer whose work celebrates fantasies and desire, focusing on the female beauty. Lagrange was born in Kinshasa, Congo."
93,"An American Abstract Expressionist painter, Frank Wimberley is celebrated for his dynamic paintings that evoke the movement of jazz. 
"
94,More details will be forthcoming shortly.
95,"AKET is a French artist who creates his distinct neo-cubist works on canvas, sneakers, murals, and even on American stock certificates."
96,"Rodrigo Spinel is a Colombian artist who uses drawing as a way to explore the relevance of detail in the construction of images, objects and spaces."
97,"Nikolaos Schizas is a Greek artist based in Barcelona, who creates dynamic abstract paintings that radiate with vibrant splashes of color."
98,More details will be coming shortly.
99,Jeff Koons is an American artist known for his reproductions of banal objects—such as Balloon animals produced in stainless steel with mirror finish surfaces.
100,"A Mexican contemporary artist, Gabriel Rico creates work characterized by the interrelation of seemingly disparate objects."
101,"A sculptor at heart, Susan Woldman is an American contemporary artist who brings the sculpting sensibility into her paintings."
102,"An American abstract painter active for over six decades, John Opper was an early member of the New York School known for his distinct handling of color.
"
103,
104,Seb Janiak is a French multimedia artist known for his extraordinary and hyper-realistic photographs of mysterious forces of natural phenomena.
105,"Martín Reyna is an Argentinian-born contemporary artist widely known and recognized for his gestural abstract paintings. He lives and works in Paris.
"
106,"Charo Oquet is a Dominican multidisciplinary artist, curator and cultural producer concerned with new narratives and subjectivities."
107,"Cecilia Arróspide is a Peruvian artist whose work is mainly abstract expressionist, but she also creates artworks that can be categorized as surrealist."
108,"Erro is an Icelandic Pop Art and Postmodern artist, whose work includes painting, drawing, collage, printmaking, sculpture, and film. 
"
109,"Lowell Blair Nesbitt was an American painter, draughtsman, printmaker and sculptor. She was born in 1933 in Baltimore, Maryland, United States."
110,"Matt Siren is an American street artist and illustrator, best known for his trademark Ghost Girl image. Siren was born in New York.
"
111,"Macha Poynder is a Russian-born, Paris-based artist whose multi-disciplinary oeuvre is inspired by the philosophies and aesthetic principles of Abstract Expressionism.
"
112,"Considered to be one of Canada’s most significant Modernists, William Perehudoff is most closely associated with colour field painting.
"
113,Paul Manes is an American contemporary painter whose ability to handle oil paint allows for fluidity of style between abstraction and representation.
114,Ana Seggiaro is an Argentinian contemporary artist. She studied drawing and engraving at the National School of Fine Arts Prilidiano Pueyrredón.
115,"Konstantin Bokov is a Ukrainian contemporary artist widely known for his paintings and drawings. He immigrated to the USA in 1974, settling in New York. 
"
116,Silvia Yapur is an Argentinian mixed media artist who intuitively incorporates different materials needed for each work.
117,"Leaving a resonating effect on the street art of New York and art in general, Keith Haring created largely public available artwork in the 20th century,"
118,"Matt Mullican is an American visual artist, who has over the years created a complex body of work that deals with systems of knowledge, meaning, and language through drawing, collage, video, sculpture, performance, and installation."
119,"Chilean-born Roberto Matta was a painter with an often questioned legacy despite heavily influencing and being a part of both Abstract Expressionism and Surrealism.
"
120,"Alexander Calder was an American artist, best known as a sculptor - originator of so called mobile, a type of kinetic sculpture."
121,"Best known for her soft color-field paintings, the American abstract artist Jill Nathanson works through a systematic, multistep process. 
"
122,"Troy House is an American photographer working in advertising, fashion, travel, nudes, landscape, commercial, and resort photography."
123,"Laura Marsh is an American textile artist with a social practice, whose spheres, flags, and installations contain social mottos and humanitarian texts."
124,"Mario Rossi is an Italian photographer whose view on photography is influenced by a ""pictorial"" vision of space derived from his studies."
125,"Daniel Göttin is a Swiss artist. Working in a manner of minimal art, Daniel creates site-specific wall-works and paintings.
"
126,"Kalev Mark Kostabi is an artist and composer born in 1960 in Los Angeles, CA. His work was included in many solo and group exhibitions."
127,The American artist Jill Baroff examines the ever-changing nature of perception and our place within the world.
128,"Martin Kline is an American painter, draughtsman, and sculptor, though these three practices can sometimes blend into a single artwork."
129,"Katika is a Hungarian-born Russian fiber artist working primarily in the field of crochet art, looking into themes such as human attachment."
130,More details will be coming shortly.
131,"An American artist Stephen Pace is known for exuberant style applied Abstract Expressionist scale and directness to figurative painting. 
"
132,"Roberto Fonfría is a Venezuelan artist who creates stories through a random mix of found images, photographs, drawings, and words."
133,"Shepard Fairey is an American contemporary street artist, graphic designer, activist and illustrator who emerged from the skateboarding scene."
134,"James Rosenquist is an American painter, print-maker and sculptor. He references to mass-production and mass media, together with a dispassionate and seemingly anonymous technique.
"
135,"A natural painter and gifted colorist, Charlotte Park made an important contribution to the Abstract Expressionist movement during its early years.
"
136,"Working in wood and bronze, Joël Urruty is an American artist who creates both abstract and figurative sculptures, as well as wall assemblages."
137,"Deborah Bigeleisen is an American contemporary artist widely known for her floral paintings, always using a single image of a flower as her inspiration."
138,"Albert Llobet Portell is a contemporary artist whose abstract paintings explore the richness of colors, textures, lines, and compositions."
139,More details will be forthcoming shortly.
140,"A committed modernist, working in the minimalist tradition, Ken Greenleaf creates work embedded in a philosophical and theoretical framework."
141,"In a constant search for clarity and concision, the American artist Edward Zutrau blended precepts of the New York School with a strong physicality.
"
142,"Michael James O’Brien is an American photographer, teacher, curator, poet and activist, whose works have been published internationally."
143,"Shine Huang is a Chinese-born photographer based in Atlanta, Georgia. His work focuses mainly on culture and human nature."
144,Vicky Martin is a British photographer best known for her conceptual portraits depicting the conflict between themes of fantasy and reality.
145,More details will be coming shortly.
146,More details will be coming shortly.
147,"Jessica Stockholder is an American sculptor and installation artist whose works challenge boundaries among painting, sculpture, and environment."
148,"Sophie Calle is a French photographer, installation author and a conceptual artist whose notorious and controversial reputation by far precedes her.
"
149,"Yari Ostovany is an Iranian-American abstract painter, known for his explorations of the alchemy of paint, color, light, texture and the poetics of space.
"
150,"Best known for his brightly colored biomorphic paintings, artist Carroll Dunham born in 1849, creates humorous images with a sexual connotation."
151,"Marc Chagall was a Belorussian-born Russian-French Modernist artist whose career spanned over seventy years. 
"
152,Matthieu Venot is a French photographer known for his cleanly composed minimalist images that stand out from a deep blue sky.
153,"A celebrated Op artist, John Goodyear re-contextualized the viewer’s present observation through painting, drawing, light, optics, installation, and heat.
"
154,"Gerald Williams is an American visual artist who was a crucial figure of the Black Arts Movement, and a founding member of the artist group AfriCOBRA."
155,David Jay is a well-known American photographer whose work gives a unique and intimate perspective on how we define beauty.
156,More details will be coming shortly.
157,"Margaret Ann Withers is an American painter, sculptor and poet. Originally from Texas, she lives and works in New York City."
158,Jitka Hanzlová is best known for her portraiture which bears on the relationship of the individual with the context in which that person lives.
159,Risaburo Kimura was a Japanese painter and printmaker whose theme was the construction and decay of a city. He moved to New York in 1964.
160,More details will be coming shortly.
161,"Deborah Kass, born in 1952, is an American artist whose work explores the intersection of pop culture, art history, and the self.
"
162,"Sylvie Blum is an Austrian artist who lives and works in Los Angeles, CA. She offers a unique perspective on the female form."
163,"Terry Winters is an American artist whose minimalist paintings are depicting organic shapes, abstracted botanicals, and scientific processes."
164,"Bruno Munari was a recognized Italian artist known for various contributions to modernism, futurism, and concrete art, as well as in non-visual arts."
165,"A Canadian artist, Andrew Rucklidge explores themes harnessed chaos, as well as the excavation and the geology of paint. He"
166,"Jacquelyn Thunfors is a Swedish-American journalist, artist, and educator, who began painting upon realizing at midlife that words have their limit."
167,"Based in Fountain Hills, Arizona, Kathleen Hope is an American contemporary abstract mixed media artist who works in cement, plaster and encaustic."
168,"Kyohei Inukai was a Japanese-American artist known for his own brand of illusionary art. As Earle Goodenow, he illustrated children's books in the 1940s."
169,Monika Bravo is a Colombian multi-disciplinary artist who examines the notion of perception by questioning whether the world we live in.
170,"Stefano Ogliari Badessi, also known as SOB or S.O.B., is an Italian nomadic installation artist inspired by life, nature and dreams."
171,"Stefana McClure focuses on discrepancies in translation, fascinated by the gray area that exists between languages and cultures."
172,"Born in Barranquilla, Max Steven Grossman is a Colombian digital photographer whose work ranges from Bookscapes to landscapes and nature."
173,"Daniel Arsham is an American contemporary artists, best known for his cutting-edge architectural and sculptural designs.
"
174,"A British contemporary artist, Alan Johnston explores spatial contexts and relations through drawing and architectural construction."
175,"JeeYoung Lee, also known as Jee Young Lee or Jee-Young Lee, is a South Korean multidisciplinary artist widely known for her constructed photographs."
176,"Working in various mediums, Adrienn Krahl is a Hungarian artist whose paintings express a profound sense of drama and emotional weight."
177,"Sarah J. & Sally A. Edwards are British twin sisters who work as Photographer and Art Director, respectively. They created BLAG."
178,"Ramon Santiago was an American artist widely known and recognized for his figurative style mixed with elements of fantasy.
"
179,"Casey Waterman is an American artist whose work is based primarily on the creation of a cut image from a photograph, drawing, or other forms of visual media."
180,"Daru is a French graffiti artist and painter, whose work creates parodies that entertain as well as criticize contemporary society."
181,More details will be coming shortly.
182,More details will be coming shortly.
183,"David Hockney is a celebrated English painter, printmaker, photographer and stage designer who was a crucial figure of the  Britain's Pop art movement.
"
184,"Wolf Kahn is a German-born American painter best known for his unique blend of Realism and the formal discipline of Color Field painting.
"
185,"Richard Anuszkiewicz was an American painter, printmaker, and sculptor, best known as one of the founders and foremost exponents of Op Art.
"
186,"Donald K. Sultan is an American artist, known for his large-scale still-life paintings, and for using industrial materials such as tar and enamel.
"
187,"Théo Tobiasse was born in Israel in 1927. Originally from Lithuania, his family hoped to find the promised land there.
"
188,"Chen Fei is known for his narrative paintings, fantasised, often perverted, constructs those transpose elements from his personal life."
189,"Joannis Avramidis was a Greek-Austrian sculptor. He was born in Batumi, Georgia in 1922 to a family of Caucasus Greek origin.
"
190,"Arvid Boecker is a German abstract painter whose work mobilizes the tensions and harmonies that exist between color relationships, textures, and the processes of time. 
"
191,"Robert Rauschenberg, born as Milton Rauschenberg in 1925, in Port Arthur, Texas, was one of the central figures in the development of post-war American art.
"
192,"Peter Doig is a Scottish painter, born on 17 April 1959 in Edinburgh. He is considered one of the most renowned living figurative painters.
"
193,"Antoni Tàpies was a Spanish painter, sculptor and art theorist, who became one of the most famous European artists of his generation.
"
194,"Dana Gordon, born in 1946, is an American abstract painter who explored playful shapes and intense colors to depict an exuberant abstraction."
195,"Olivier Valsecchi is a French photographer, born in 1979.  He studied photography at ETPA Photography School in Toulouse."
196,"An American abstract artist, Perle Fine one of the first women to be admitted to the Artist's Club, which was no small feat at the time.
"
197,Alain Laboile is a French sculptor and photographer best known for the photographs of his large family. He became a photographer in 2004.
198,Sunday B. Morning represents a name for a group of anonymous Belgians who were given Warhol’s original negatives and who produce high-quality prints.
199,Manuela Karin Knaut is a German contemporary artist best known for her paintings and installations. She is currently living and working in Braunschweig.
200,Alec Franco is an Argentinian contemporary artist. He’s been painting since 1991 and has worked as a graphic designer since 1995.
201,"Sergio Bazán is an Argentinian artist. He also writes art texts, works as a curator, and is currently the director of visual arts at the Fundación Cazadores."
202,"Tony Tasset is an American multimedia artist best known for his large-scale public sculptures that satirically explore pop culture and mass marketing.  
"
203,"American artist Scott Reeder is known for creating paintings, installations, and sculptures of simple forms that explore and address complex ideas."
204,"Lakshmi Mohanbabu is a talented artist from Singapore who creates works in a wide range of mediums including design, architecture, illustrating and painting.
"
205,"French-born and based in Brussels, Anthea Missy is a self-taught artist whose street and canvas works aim at causing positive changes within the community.
"
206,RICHARD CALDICOTT is a British artist who explores mainly photography by creating abstract compositions.
207,"Paola Pivi is an Italian contemporary artist,known for her work in a wide range of mediums, such as photography, sculpture, site-specific installations and performance."
208,"Joanne Freeman is an American contemporary artist born in 1954. She is known for her abstract, minimalist and reductive paintings.
"
209,"Debra Ramsay is an American contemporary artist known for her abstract works that recall color field paintings from the 1960s.
"
210,"Bernhard Lang is a German photographer known for his daredevil photos of landscapes taken by the artist strapped underneath an ultralight aircraft.
"
211,"Devin Miles is a German contemporary artist widely known and appreciated for his Pop-art depictions of famous people and imagery.
"
212,"Ulla Pedersen is a Danish abstract artist. Her work is a minimal and concrete exploration of color, materiality, form, and balance.
"
213,"Susan Vecsey is celebrated for minimal and captivating works, featuring abstract swatches of color evocative of shapes found in nature.
"
214,
215,"Trained as an architect, Tiago Mestre’s sculptures, paintings, and installations reflect his status as a Portuguese artist living and working in Brazil."
216,"Mary Dill Henry was an American artist whose bold geometric abstractions are known for their formal gymnastics, breathtaking scale and audacious color."
217,"Juan Pablo Castro is a Colombian artist who provides his viewers with videos and photographs where fashion, color, and expression collide."
218,More details will be forthcoming shortly.
219,Stylianos Schicho is an Austrian artist known for large-scale works that depict both humans and animals. His works are a blend of drawing and painting.
220,"Working in painting, printmaking, and sculpture, Betty Merken is an American artist who considers color and materiality to be paramount."
221,"A leading figure in the rise of color abstraction, Albert Stadler explored the nature of optical experience, inviting invitation the viewer to participate.
"
222,"The work of the American abstract painter Edward Avedisian was initially associated with Color field painting and later with Lyrical Abstraction.
"
223,Ray Mead was a Canadian abstract expressionist painter and a founding member of the artists group Painters Eleven.
224,"Jean-Philippe Delhomme is best known for painting scenes devoid of any human presence, based on direct observation of the urban landscapes big cities."
225,Santiago Medina is a Colombian-American contemporary sculptor and a pioneer in the use of advanced medical imaging technology in sculpting.
226,"Francisco Larios is a Mexican artist who practices painting, drawing, and software to create two and three-dimensional visual environments."
227,Susan Schwalb is an American artist whose primary medium is the Renaissance technique of silverpoint and metalpoint drawing.
228,"Armand Pierre Fernandez Arman was a French-born American artist, one of the co-founders of a Nouveau réalisme movement, a French reaction to Pop Art.
"
229,"Raymond Parker was known as an Abstract expressionist painter who also is associated with Color Field painting and Lyrical Abstraction.
"
230,"Using a blend of digital tools and organic processes, Dutch artist Luuk de Haan makes unique and visually stunning artwork that can easily astound its viewers."
231,"Elizabeth Gourlay is an American contemporary artist who explores the possibilities of color, form and architectural space in her abstract paintings.
"
232,"Holly Miller is an American artist, known for fusing optical and tactile in her abstract paintings. The artist was born in 1958 in Buffalo, NY.
"
233,"Tracey Adams is known for her colorful abstract paintings, prints and monotypes inspired by nature, music, mathematics and Japanese art. 
"
234,Stephen Maine is an American abstract painter who developed an incredible process of art making that in return enables him to create visually stunning pieces.
235,"Laura Newman is an established American contemporary artist known for abstract and colorful paintings. 
"
236,"Kiki Kogelnik was an Austrian painter and sculptor who is lauded for her contribution to the Pop art, a movement she never wanted to be directly associated with.
"
237,"Elena Monzo is an Italian artist who was born in 1981, in Orzinuovi. She lives and works between Brescia and Milan."
238,"Peterson Kamwathi an established Kenyan artist best known for his painterly based practice saturated with various  social and political references. 
"
239,"Don Frost is a Canadian contemporary artist, widely known and recognized for his unique, innovative, and original sculptures."
240,"Irene Nelson is an American abstract painter who approaches each work of art in a similar, intuitive manner, letting the moment guide her."
241,More details will be forthcoming shortly.
242,"Nanette Carter is an American artist who creates sea, sky, and landscapes in which she explores political themes and the drama of human nature."
243,"Working primarily in oil paint and watercolor, Elizabeth Osborne is an American artist and one of the premier figures of postwar art in Philadelphia."
244,"Laetitia Adam-Rabel, also known as Laeti, is a Haitian-American artist who uses various media to address social and personal issues."
245,More details will be coming shortly.
246,More details will be coming shortly.
247,More details will be coming shortly.
248,"Formed by Eva Rucki, Conny Freyer and Sebastien Noel, the artist trio Troika deals with the various relationships we form with technology."
249,"The Brazilian artists creates objects that explore the mechanics of form and movement, balance and tension, and architectural spaces."
250,"An American contemporary visual artist, Roy Dowell is best known for abstract compositions combining collage and painted elements, and elements of mass media."
251,"Matthew Carver explores if something pleasing and beautiful can shift, nudge, and hint at something darker and possibly foreboding."
252,"Gabriele Huesgen is a German contemporary freelance artist based in Essen, widely known and recognized for her paintings, sculptures, and jewelry."
253,"Based in Vancouver, British Columbia, Desirée Patterson is a Canadian photographic artist known for her unique aesthetic approach."
254,More details will be forthcoming shortly.
255,More details will be coming shortly.
256,Gerard Courbouleix-Deneriaz known as Razzia is a French graphic artist who creates painted posters in a manner of Art Deco tradition.
257,"Born in 1962, Janise Yntema is an American abstract painter who works with the ancient technique of encaustic wax.
"
258,"Banksy is a pseudonymous for United Kingdom-based graffiti artist, political activist, film director, and painter."
259,Mel Bochner is an American born in 1940.He is one of the pioneers of the Conceptual Art.
260,"David Drebin is a Canadian photographer born in 1970, known for his glamorous advertising and fashion photography, which invites the viewer into a metropolitan nightlife of champagne and luxury."
261,"Tim Flach is a London-based photographer, artist and director, with work in several major international public collections."
262,Isca Greenfield-Sanders is an American artist whose oil paintings and watercolors are based on found transparencies from the 1950s and 1960s.
263,"A second-generation performance artist, Christoph Rütimann is also a painter, a draftsman, a sculptor, photographer and video artist."
264,
265,Doris Marten is a German contemporary artist whose paintings explore the visual effects created by the harmony between light and color.
266,"Harold Town is best known as a member of Painters Eleven, a group of abstract artists active in Toronto from 1954-1960."
267,Ginnie Gardiner is an American contemporary artist widely known for her painting and collages. The collages also serve as studies for her paintings.
268,Dean West is an Australian artist whose meticulously composed and color-saturated digital photographs reflect on the medium’s theoretical foundations.
269,BAKi is a South Korean photographer and visual artist whose work is influenced by his experience as a soloist in the National Ballet of Korea.
270,Joachim Schmeisser is a German photographer widely known for his exceptionally intimate portraits of species threatened with extinction.
271,
272,
273,"Michael Barringer is an American artist known for his highly crafted and detailed, lyrical abstract paintings rooted in metaphysical introspection."
274,More details will be coming shortly.
275,More details will be coming shortly.
276,More details will be coming shortly.
277,Cecilia Méndez Casariego is an Argentinian artist whose sculptures represent a tiny world of human experience. She lives and works in Buenos Aires.
278,José Ricardo Contreras González is a Colombian artist who explores the image through the examination of physical and digital records.
279,"Born in Tokyo to Chinese parents living in Japan, Ying Chen is an artist who’s been focused on photo collages since 2018."
280,"Yoshitomo Nara is a Japanese artist whose trademark have become paintings, drawings and sculptures of seemingly innocent, wide-eyed kids and dogs.
"
281,"Nathan Sawaya is an American artist who builds custom three-dimensional sculptures and large-scale mosaics from LEGO toy bricks.
"
282,"Brian Alfred, born in Pittsburgh, in 1974, is an artist who works fluidly between painting, collages, digital drawing and animation."
283,"Joseph Charles Tilson is an English Pop Art painter and sculptor, who became one of the leading figures in the English Pop Art movement in the 60s.
"
284,Macyn Bolt is an American abstract painter whose compositions and their forms explore the concepts of various shifts within visual perception.
285,"Val Kilmer, the painter, sculptor, actor, and poet, has produced a prolific body of work as diverse as many characters he has played on screen."
286,The mysterious French artist going by the name of JR uses photography and street art to tell the stories of marginal groups of people.
287,"Tracey Emin is a British artist, a part of the group known as Britartists or YBAs (Young British Artists) known for using her life events as inspiration for works.
"
288,"Gregor Hildebrandt is a German contemporary artist, born in 1974, whose main artistic mediums are cassette tape and vinyl records. The tapes are applied directly onto canvases and photographic prints and in room-sized installations."
289,"Fieroza Doorsen is a South African – British abstract artist who is putting an emphasis in her work on pattern and colored forms.
"
290,"Nick Veasey is a British photographer working with images created from X-ray. Some of his works are partial photo-manipulations with Photoshop.
"
291,"Allan D'Arcangelo was a New York-born artist and printmaker, best known for his paintings of highways and road signs.   
"
